TagsConcatenated,ProjectName,AssigneeLogin,Complexity,EstimationError,SuccessGrade,IssueType,Summary,ReviewRefuses,TestRefuses,IdReadable
React,Average project,Ron_Alexander,Junior,-0.05,5,Feature,sample,0,0,AVG-01
React,Average project,Mark_Davis,Junior,-0.05,5,Feature,sample,0,0,AVG-02
"DevOps,Postgres",Average project,Mark_Davis,Middle,-0.03,5,Feature,sample,0,0,AVG-03
"Dotnet,Postgres",Average project,Adam_Lucas,Middle,-0.03,5,Task,sample,1,0,AVG-04
DevOps,Average project,Mark_Davis,Middle,-0.09,5,Bug,sample,0,0,AVG-05
React,Average project,Ron_Alexander,Middle,0,5,Bug,sample,0,1,AVG-06
DevOps,Average project,Rafael_Welch,Middle,0.01,5,Task,sample,0,0,AVG-07
React,Average project,Mark_Davis,Junior,-0.05,5,Task,sample,0,1,AVG-08
"Dotnet,React",Average project,Mark_Davis,Senior,0.04,5,Feature,sample,1,0,AVG-09
"Dotnet,Postgres",Average project,Adam_Lucas,Middle,-0.06,5,Bug,sample,0,0,AVG-010
Dotnet,Average project,Ron_Alexander,Junior,-0.01,5,Feature,sample,1,0,AVG-011
"Dotnet,Postgres",Average project,Mark_Davis,Middle,-0.09,5,Feature,sample,0,1,AVG-012
"Dotnet,Postgres",Average project,James_Taylor,Junior,0.05,5,Feature,sample,0,0,AVG-013
React,Average project,Ron_Alexander,Middle,0.09,5,Feature,sample,0,1,AVG-014
React,Average project,Dale_Marshall,Senior,-0.05,5,Task,sample,0,1,AVG-015
Dotnet,Average project,Rafael_Welch,Junior,0.06,5,Bug,sample,0,1,AVG-016
React,Average project,Ron_Alexander,Junior,0.08,5,Bug,sample,0,0,AVG-017
"Dotnet,React",Average project,Adam_Lucas,Junior,-0.02,5,Bug,sample,0,0,AVG-018
"Dotnet,Postgres",Average project,Joe_Cobb,Middle,0,5,Bug,sample,1,0,AVG-019
React,Average project,Adam_Lucas,Middle,0.02,5,Feature,sample,1,0,AVG-020
"Dotnet,Postgres",Average project,James_Taylor,Middle,-0.1,5,Bug,sample,1,0,AVG-021
Dotnet,Average project,Mark_Davis,Middle,0.06,5,Task,sample,0,1,AVG-022
DevOps,Average project,Dale_Marshall,Middle,-0.1,5,Task,sample,1,0,AVG-023
DevOps,Average project,James_Taylor,Middle,0.07,5,Feature,sample,1,0,AVG-024
React,Average project,James_Taylor,Middle,-0.1,5,Bug,sample,0,1,AVG-025
React,Average project,Adam_Lucas,Senior,-0.08,5,Task,sample,1,0,AVG-026
React,Average project,Ron_Alexander,Middle,0.02,5,Feature,sample,1,0,AVG-027
"Dotnet,React",Average project,Adam_Lucas,Senior,0,5,Bug,sample,1,0,AVG-028
DevOps,Average project,Rafael_Welch,Middle,-0.1,5,Bug,sample,1,0,AVG-029
"DevOps,Postgres",Average project,Ron_Alexander,Junior,-0.05,5,Feature,sample,0,1,AVG-030
DevOps,Average project,James_Taylor,Middle,-0.03,5,Feature,sample,0,1,AVG-031
Dotnet,Average project,Dale_Marshall,Middle,-0.08,5,Feature,sample,0,0,AVG-032
Dotnet,Average project,Rafael_Welch,Junior,-0.07,5,Feature,sample,0,1,AVG-033
Dotnet,Average project,Adam_Lucas,Middle,0.02,5,Feature,sample,1,0,AVG-034
Dotnet,Average project,James_Taylor,Middle,-0.07,5,Bug,sample,1,0,AVG-035
Dotnet,Average project,Adam_Lucas,Middle,-0.06,5,Feature,sample,1,0,AVG-036
"Dotnet,Postgres",Average project,Ron_Alexander,Middle,0.06,5,Feature,sample,0,0,AVG-037
"Dotnet,Postgres",Average project,Mark_Davis,Junior,0.03,5,Task,sample,1,0,AVG-038
"Dotnet,React",Average project,Rafael_Welch,Junior,0.09,5,Feature,sample,1,0,AVG-039
DevOps,Average project,Dale_Marshall,Middle,-0.1,5,Feature,sample,1,0,AVG-040
"Dotnet,Postgres",Average project,Mark_Davis,Middle,-0.04,5,Feature,sample,0,1,AVG-041
"Dotnet,React",Average project,Rafael_Welch,Junior,0,5,Feature,sample,1,0,AVG-042
"Dotnet,React",Average project,James_Taylor,Middle,-0.1,5,Feature,sample,1,0,AVG-043
"Dotnet,React",Average project,Ron_Alexander,Middle,-0.05,5,Bug,sample,0,1,AVG-044
React,Average project,James_Taylor,Middle,-0.05,5,Feature,sample,1,0,AVG-045
DevOps,Average project,Adam_Lucas,Junior,-0.02,5,Feature,sample,1,0,AVG-046
React,Average project,Joe_Cobb,Junior,0.07,5,Bug,sample,1,0,AVG-047
"DevOps,Postgres",Average project,Dale_Marshall,Middle,0.07,5,Task,sample,0,0,AVG-048
"DevOps,Postgres",Average project,James_Taylor,Middle,-0.1,5,Task,sample,0,0,AVG-049
"DevOps,Postgres",Average project,Joe_Cobb,Junior,0.07,5,Task,sample,0,0,AVG-050
React,Average project,Adam_Lucas,Middle,-0.01,5,Feature,sample,0,1,AVG-051
Dotnet,Average project,Ron_Alexander,Senior,-0.07,5,Task,sample,0,1,AVG-052
React,Average project,Joe_Cobb,Middle,0.03,5,Bug,sample,1,0,AVG-053
"Dotnet,Postgres",Average project,James_Taylor,Senior,-0.01,5,Bug,sample,0,1,AVG-054
"Dotnet,React",Average project,Joe_Cobb,Junior,-0.1,5,Feature,sample,0,0,AVG-055
React,Average project,Rafael_Welch,Senior,-0.03,5,Task,sample,0,1,AVG-056
